bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,cluster
-0.896042,0.780732,-1.426752,-0.568475,0
-0.822788,0.119584,-1.069474,-0.506286,0
-0.676280,0.424729,-0.426373,-1.190361,0
-1.335566,1.085877,-0.569284,-0.941606,0
-0.859415,1.747026,-0.783651,-0.692852,0
-0.932669,0.323014,-1.426752,-0.723946,0
-0.877728,1.238450,-0.426373,0.582014,0
-0.529772,0.221299,-1.355296,-1.252549,0
-0.987609,2.052171,-0.712196,-0.506286,0
-1.720150,2.001313,-0.212006,0.239977,0
-1.353880,0.323014,-1.140929,-0.630663,0
-0.969296,0.933305,-0.426373,-0.941606,0
-0.273383,1.797883,-0.283462,0.364354,1
-1.756777,0.628159,-1.212385,-1.097078,0
0.367590,2.204743,-0.497829,-0.008777,1
-1.134117,0.577302,-1.926941,-1.003795,0
-1.152431,0.780732,-1.498207,-0.755041,0
-1.482074,1.035020,-0.855107,-0.506286,0
-1.060863,0.475587,-1.140929,-0.319720,0
-0.950982,0.017869,-1.498207,-0.506286,0
-1.591955,0.882447,-0.998018,-0.506286,0
-0.621339,0.729875,-1.283840,-0.817229,0
-0.639653,0.373872,-0.998018,-1.252549,0
-1.115804,0.729875,-2.069852,-1.314738,0
-0.639653,0.882447,-1.498207,-0.319720,0
-0.822788,-0.236419,-1.641118,-1.190361,0
-1.243998,0.475587,-1.641118,-0.381909,0
-0.822788,0.323014,-0.926562,-1.128172,0
-0.566399,0.882447,-1.212385,-0.381909,0
-1.390507,-0.083846,-0.426373,-1.097078,0
-0.877728,2.001313,-0.354918,-0.070966,0
-0.950982,1.441880,-0.783651,-0.319720,0
-0.328323,0.679017,-1.498207,-0.817229,0
-1.170744,1.085877,-1.426752,-1.128172,0
-0.767847,0.984162,-1.212385,0.550920,0
-1.372193,0.424729,-1.355296,-1.314738,0
-0.584712,0.628159,-0.426373,-0.381909,0
-1.463761,0.679017,-1.069474,-1.376927,0
0.019633,1.289308,-0.354918,0.239977,1
-1.280626,-0.134704,-1.140929,-1.501304,0
-0.804474,0.831590,-0.783651,0.488731,0
-0.529772,0.933305,-1.355296,-0.972701,0
-1.463761,0.373872,-0.783651,-0.941606,0
-0.310010,2.052171,-0.712196,-0.070966,1
-0.804474,0.272157,-1.069474,-0.879418,0
-0.712907,0.882447,-0.926562,0.115600,0
-1.646896,0.373872,-0.783651,-0.941606,0
-0.364950,1.187592,-0.069095,-0.195343,1
-1.738463,0.475587,-0.998018,-1.625681,0
-0.474831,0.729875,-0.712196,-0.630663,0
-0.914355,0.170442,-1.069474,-0.817229,0
-0.621339,0.831590,-0.569284,-0.506286,0
-1.372193,-0.287276,-1.426752,-1.687870,0
-1.170744,0.984162,-0.497829,-0.568475,0
-1.518701,-0.134704,-1.140929,-1.314738,0
-0.493145,2.001313,-0.426373,0.239977,1
-1.170744,-0.083846,-1.140929,-0.755041,0
-0.529772,0.526444,-0.640740,-0.195343,0
-1.390507,-0.032989,-1.212385,-1.687870,0
-0.438204,0.424729,-0.640740,-0.319720,0
-1.555328,-0.490707,-0.426373,-1.065984,0
-0.529772,0.984162,-0.926562,-0.133155,0
-1.482074,-0.287276,-0.783651,-1.439115,0
-0.401577,1.136735,-0.212006,0.302166,1
-1.921598,0.933305,-0.783651,-0.755041,0
-0.786161,0.628159,-0.783651,-0.381909,0
-0.804474,0.017869,-0.354918,-0.817229,0
0.330963,0.882447,-0.283462,-0.070966,1
-1.555328,0.170442,-0.783651,-0.630663,0
-0.218442,0.679017,-0.426373,0.053411,1
-0.566399,-0.185561,-0.712196,-0.630663,0
-1.243998,1.136735,-1.212385,-0.381909,0
-1.427134,-0.541564,-0.998018,-0.817229,0
-0.346637,0.984162,-0.426373,-0.257532,1
-1.720150,0.017869,-0.855107,-1.252549,0
-0.200129,0.221299,-0.354918,0.613109,1
-1.335566,0.831590,-0.998018,-0.506286,0
-1.628582,1.136735,-0.569284,-0.008777,0
-1.225685,0.323014,-0.712196,-1.065984,0
-0.493145,1.594453,-0.497829,-0.817229,0
-1.408820,1.187592,-0.783651,-0.506286,0
-1.298939,0.729875,-0.855107,-0.879418,0
-1.042550,1.035020,-0.855107,-0.319720,0
-0.932669,0.831590,-0.783651,-0.755041,0
-1.518701,0.424729,0.073816,-0.817229,0
-0.529772,0.475587,0.288183,0.115600,1
-1.830031,-0.032989,-1.140929,-1.003795,0
-0.804474,0.475587,-1.069474,0.302166,0
-1.427134,0.068726,-0.998018,-1.128172,0
-0.584712,0.882447,0.502550,0.115600,1
-1.079177,0.729875,-0.783651,-0.630663,0
-0.676280,0.679017,-0.354918,0.177788,0
-1.994852,-0.541564,-1.641118,-1.625681,0
-0.145188,0.679017,-0.640740,-0.133155,1
-1.646896,0.373872,-0.640740,-0.599569,0
-0.548085,1.441880,0.145272,0.644203,1
-1.152431,-0.592422,-1.283840,-1.408021,0
-1.134117,1.441880,-0.783651,0.053411,0
-1.115804,0.729875,-0.569284,-1.594587,0
-0.786161,0.882447,-1.212385,-0.817229,0
-0.987609,0.017869,-0.140551,-0.568475,0
-1.060863,1.441880,-0.783651,-0.381909,0
-1.079177,-0.083846,-1.426752,-1.283644,0
-0.145188,0.933305,-0.283462,0.706392,1
-1.079177,-0.338134,-0.212006,-0.475192,0
0.294336,1.594453,-0.712196,0.488731,1
-0.786161,0.272157,-0.569284,-1.252549,0
-0.328323,1.187592,-0.283462,0.084506,1
-0.804474,1.797883,-0.712196,-0.381909,0
-0.236756,0.577302,-0.354918,-0.164249,1
-0.987609,-0.083846,-0.926562,-1.625681,0
-1.225685,1.696168,-0.140551,-0.537380,0
-1.518701,-0.083846,-0.855107,-1.065984,0
-0.529772,0.729875,-0.855107,-1.097078,0
-1.427134,0.017869,-0.998018,-1.314738,0
-1.152431,1.340165,-0.212006,-0.879418,0
-0.694593,-0.083846,-1.784030,-0.941606,0
-0.474831,0.679017,0.073816,-0.413003,0
-1.610269,-0.643279,-1.069474,-1.439115,0
-0.621339,0.933305,-0.140551,-0.257532,0
-0.950982,0.221299,-0.712196,-1.159266,0
-0.456518,0.577302,-0.426373,0.115600,0
-0.914355,-0.032989,-0.712196,-1.439115,0
0.019633,0.424729,0.645461,-0.257532,1
-1.005923,0.373872,-0.783651,-1.097078,0
-0.163502,1.035020,-0.283462,-0.879418,1
