bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
-0.896042,0.780732,-1.426752,-0.568475
-0.822788,0.119584,-1.069474,-0.506286
-0.676280,0.424729,-0.426373,-1.190361
-1.335566,1.085877,-0.569284,-0.941606
-0.859415,1.747026,-0.783651,-0.692852
-0.932669,0.323014,-1.426752,-0.723946
-0.877728,1.238450,-0.426373,0.582014
-0.529772,0.221299,-1.355296,-1.252549
-0.987609,2.052171,-0.712196,-0.506286
-1.720150,2.001313,-0.212006,0.239977
-1.353880,0.323014,-1.140929,-0.630663
-0.969296,0.933305,-0.426373,-0.941606
-0.273383,1.797883,-0.283462,0.364354
-1.756777,0.628159,-1.212385,-1.097078
0.367590,2.204743,-0.497829,-0.008777
-1.134117,0.577302,-1.926941,-1.003795
-1.152431,0.780732,-1.498207,-0.755041
-1.482074,1.035020,-0.855107,-0.506286
-1.060863,0.475587,-1.140929,-0.319720
-0.950982,0.017869,-1.498207,-0.506286
-1.591955,0.882447,-0.998018,-0.506286
-0.621339,0.729875,-1.283840,-0.817229
-0.639653,0.373872,-0.998018,-1.252549
-1.115804,0.729875,-2.069852,-1.314738
-0.639653,0.882447,-1.498207,-0.319720
-0.822788,-0.236419,-1.641118,-1.190361
-1.243998,0.475587,-1.641118,-0.381909
-0.822788,0.323014,-0.926562,-1.128172
-0.566399,0.882447,-1.212385,-0.381909
-1.390507,-0.083846,-0.426373,-1.097078
-0.877728,2.001313,-0.354918,-0.070966
-0.950982,1.441880,-0.783651,-0.319720
-0.328323,0.679017,-1.498207,-0.817229
-1.170744,1.085877,-1.426752,-1.128172
-0.767847,0.984162,-1.212385,0.550920
-1.372193,0.424729,-1.355296,-1.314738
-0.584712,0.628159,-0.426373,-0.381909
-1.463761,0.679017,-1.069474,-1.376927
0.019633,1.289308,-0.354918,0.239977
-1.280626,-0.134704,-1.140929,-1.501304
-0.804474,0.831590,-0.783651,0.488731
-0.529772,0.933305,-1.355296,-0.972701
-1.463761,0.373872,-0.783651,-0.941606
-0.310010,2.052171,-0.712196,-0.070966
-0.804474,0.272157,-1.069474,-0.879418
-0.712907,0.882447,-0.926562,0.115600
-1.646896,0.373872,-0.783651,-0.941606
-0.364950,1.187592,-0.069095,-0.195343
-1.738463,0.475587,-0.998018,-1.625681
-0.474831,0.729875,-0.712196,-0.630663
-0.914355,0.170442,-1.069474,-0.817229
-0.621339,0.831590,-0.569284,-0.506286
-1.372193,-0.287276,-1.426752,-1.687870
-1.170744,0.984162,-0.497829,-0.568475
-1.518701,-0.134704,-1.140929,-1.314738
-0.493145,2.001313,-0.426373,0.239977
-1.170744,-0.083846,-1.140929,-0.755041
-0.529772,0.526444,-0.640740,-0.195343
-1.390507,-0.032989,-1.212385,-1.687870
-0.438204,0.424729,-0.640740,-0.319720
-1.555328,-0.490707,-0.426373,-1.065984
-0.529772,0.984162,-0.926562,-0.133155
-1.482074,-0.287276,-0.783651,-1.439115
-0.401577,1.136735,-0.212006,0.302166
-1.921598,0.933305,-0.783651,-0.755041
-0.786161,0.628159,-0.783651,-0.381909
